, again, air, along, also, always, another, any, around, away, back, because, below, between, big, both, came, children, come, day, different, end, even, every, few, find, food, form, get, give, go, great, help, here, home, house, important, keep, large, last, left, line, look, me, men, might, much, must, name, never, new, next, number, off, old, our, own, part, place, put, right, same, set, show, something, sound, still, such, take, tell, think, thought, three, through, together, too, under, until, us, want, well, went, while, why, work, world, 
between, , , , , , , , , , , , , 0.000, , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
big, , , , , , , , , , , , , , 0.000, , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, 0.000, 0.750, , 0.800, 0.750, , 0.667, 0.000, 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
both, , , , , , , , , , , , , , , 0.000, 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
came, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.000, , 0.000, , , 0.667, 0.750, , , 0.667, , 0.667, 0.000, 0.667, 0.500, , 0.750, , 0.750, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.000, 0.750, , , 0.667, 0.667, 0.667, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.800, 0.500, , , 0.667, , 
children, , 0.875, , , , , , , , 0.833, , , , , , , 0.000, 0.889, 0.800, , 0.857, 0.909, , 0.917, 0.900, 0.857, 0.875, 0.900, 0.900, 0.889, 0.750, 0.750, 0.857, 0.857, 0.875, , 0.900, 0.900, 0.900, 0.889, 0.857, 0.900, 0.917, 0.667, 0.900, 0.900, 0.857, 0.800, , , , 0.889, 0.909, 0.900, , 0.900, 0.833, 0.875, 0.909, 0.889, 0.800, 0.857, 0.900, , 0.857, 0.900, , 0.900, 0.800, 0.900, 0.900, 0.909, , , , , , 0.889, 0.857, 0.875, 0.900, 0.909, 0.909, 0.889, 0.857, 
come, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.000, 0.889, 0.000, 0.900, , 0.667, 0.750, , 0.923, 0.667, 0.857, 0.667, 0.000, 0.667, 0.500, 0.900, 0.750, 0.889, 0.750, 0.750, , 0.667, 0.909, 0.667, 0.667, 0.750, 0.667, 0.929, 0.889, 0.909, 0.909, 0.889, 0.667, , , , 0.000, 0.750, 0.909, , 0.667, 0.667, 0.667, 0.750, 0.750, 0.909, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, 0.889, , , , , , 0.857, 0.667, 0.800, 0.500, 0.917, 0.917, 0.667, 0.889, 
day, , 0.857, , , , , , , , 0.875, , , , , , , 0.800, 0.900, 0.000, , 0.800, 0.500, , 0.900, 0.857, 0.875, 0.833, 0.857, 0.857, 0.800, 0.833, 0.833, 0.889, 0.875, 0.875, , 0.857, 0.875, 0.833, 0.857, 0.857, 0.857, 0.929, 0.800, 0.875, 0.833, 0.889, 0.857, , , , 0.800, 0.875, 0.833, , 0.857, 0.833, 0.857, 0.875, 0.875, 0.857, 0.800, 0.857, , 0.857, 0.875, , 0.857, 0.857, 0.857, 0.857, 0.875, , , , , , 0.900, 0.857, 0.900, 0.857, 0.667, 0.889, 0.857, 0.833, 
different, , , , , , , , , , , , , , , , , , , , 0.000, 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
end, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.667, 0.857, 0.667, 0.800, 0.667, 0.000, 0.667, , 0.900, 0.667, 0.667, 0.667, 0.667, 0.667, 0.500, 0.875, 0.750, 0.800, 0.800, 0.750, , 0.667, 0.833, 0.000, 0.667, 0.750, 0.667, 0.900, 0.833, 0.833, 0.833, 0.875, 0.667, , , , 0.667, 0.750, 0.833, , 0.667, 0.500, 0.500, 0.667, 0.667, 0.889, 0.667, 0.667, , 0.667, 0.667, , 0.667, 0.750, 0.667, 0.667, 0.875, , , , , , 0.900, 0.667, 0.833, 0.500, 0.857, 0.875, 0.667, 0.750, 
even, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, , 0.750, 0.750, 0.750, 0.750, 0.750, 0.909, 0.750, 0.500, 0.750, 0.667, 0.000, , 0.917, 0.667, 0.900, 0.667, 0.667, 0.667, 0.667, 0.917, 0.750, 0.909, 0.800, 0.750, , 0.667, 0.900, 0.667, 0.667, 0.750, 0.667, 0.938, 0.875, 0.900, 0.875, 0.909, 0.667, , , , 0.750, 0.750, 0.900, , 0.667, 0.667, 0.750, 0.667, 0.667, 0.923, 0.667, 0.667, , 0.667, 0.000, , 0.667, 0.750, 0.667, 0.667, 0.900, , , , , , 0.917, 0.667, 0.833, 0.667, 0.800, 0.909, 0.667, 0.875, 
